Snap SubfindID redshift Mstar SFR IsCentral SubhaloMass SubhaloGrNr Mbh Mbhdot
40 9195 1.4955 2.068621e+10 3.9784 0 6.660831e+11 4 1.001636e+08 0.032558
40 9196 1.4955 4.176670e+10 0.0225 0 3.298676e+11 4 3.687191e+08 0.004881
40 9197 1.4955 5.379018e+10 0.0000 0 2.227858e+11 4 5.214647e+08 0.000045
40 9198 1.4955 3.941724e+10 0.0000 0 8.958227e+10 4 3.706505e+08 0.000272
40 9199 1.4955 9.346695e+09 4.5481 0 2.275131e+11 4 3.170154e+07 0.017208
40 9200 1.4955 3.119864e+10 0.0000 0 7.668197e+10 4 4.156536e+08 0.000011
40 9201 1.4955 2.756972e+10 6.1496 0 1.226351e+11 4 1.174645e+08 0.052879
40 9202 1.4955 1.703257e+09 2.0124 0 2.227835e+11 4 1.909527e+06 0.000719
40 9203 1.4955 1.936088e+10 2.7080 0 1.033348e+11 4 1.214345e+08 0.022081
40 9204 1.4955 2.005230e+10 4.2875 0 9.647926e+10 4 1.400310e+08 0.028209
40 9205 1.4955 7.960337e+09 3.1503 0 1.606725e+11 4 3.079341e+07 0.006758
40 9206 1.4955 7.474373e+09 1.1626 0 6.827513e+10 4 2.478668e+07 0.006547
40 9207 1.4955 1.602806e+09 0.5836 0 1.168410e+11 4 0.000000e+00 0.000000
40 9208 1.4955 3.950819e+09 4.5706 0 5.482491e+10 4 8.568582e+06 0.020180
40 9209 1.4955 9.351166e+09 62.6102 0 1.998717e+10 4 0.000000e+00 0.000000
40 9210 1.4955 1.955363e+09 0.5758 0 7.626491e+10 4 4.884548e+06 0.006473
40 9214 1.4955 5.266116e+09 15.6017 0 9.848270e+09 4 0.000000e+00 0.000000
40 9215 1.4955 1.809942e+09 0.3503 0 3.575171e+10 4 6.434916e+06 0.004216
40 9216 1.4955 5.260690e+09 29.4902 0 9.608180e+09 4 0.000000e+00 0.000000
40 9218 1.4955 2.502763e+09 0.0000 0 2.721781e+10 4 9.289055e+06 0.000000
40 9220 1.4955 4.444679e+09 3.2846 0 6.534144e+09 4 0.000000e+00 0.000000
40 9222 1.4955 1.712209e+09 0.5178 0 1.821093e+10 4 0.000000e+00 0.000000
40 9223 1.4955 1.201410e+09 0.0000 0 3.040905e+10 4 2.229242e+06 0.000000
40 9225 1.4955 1.219323e+09 0.0000 0 2.604591e+10 4 0.000000e+00 0.000000
40 9229 1.4955 3.051551e+09 29.3958 0 5.241444e+09 4 0.000000e+00 0.000000
40 9230 1.4955 2.120371e+09 0.0057 0 1.163109e+10 4 0.000000e+00 0.000000
40 9235 1.4955 1.660091e+09 0.0000 0 9.843066e+09 4 0.000000e+00 0.000000
40 11143 1.4955 2.061380e+11 5.1141 1 2.860470e+13 5 1.496639e+09 0.009405
